formula,Temperature,zt
 Mn34.6W1.8Si63.6,350,0.127877962
 Mn34.6W1.8Si63.6,400,0.174547526
 Mn34.6W1.8Si63.6,450,0.223062094
 Mn34.6W1.8Si63.6,500,0.27272003
 Mn34.6W1.8Si63.6,550,0.325686948
 Mn34.6W1.8Si63.6,600,0.383361559
 Mn34.6W1.8Si63.6,650,0.442741524
 Pb5Bi6Se14,400,0.060077253
 Pb5Bi6Se14,450,0.094968518
 Pb5Bi6Se14,500,0.144008203
 Pb5Bi6Se14,550,0.202790025
 Pb5Bi6Se14,600,0.267120347
 Pb5Bi6Se14,650,0.338541538
 Pb5Bi6Se14,700,0.429855313
 ReSi1.7125Al0.05,350,0.054076425
 ReSi1.7125Al0.05,400,0.068884297
 ReSi1.7125Al0.05,450,0.081969711
 ReSi1.7125Al0.05,500,0.090927866
 ReSi1.7125Al0.05,550,0.094754898
 ReSi1.7125Al0.05,600,0.093537204
 ReSi1.7125Al0.05,650,0.088140761
 ReSi1.7125Al0.05,700,0.079900456
 ReSi1.7125Al0.05,750,0.070309404
 ReSi1.7125Al0.05,800,0.060708269
 ReSi1.7125Al0.05,850,0.051974592
 ReSi1.7125Al0.05,900,0.044212112
 ReSi1.7125Al0.05,950,0.036440086
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,350,0.139076497
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,400,0.194720527
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,450,0.25707106
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,500,0.322431335
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,550,0.386811891
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,600,0.446067485
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,650,0.496034024
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,700,0.532665476
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,750,0.552170805
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,800,0.551150889
 Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01,850,0.526735445
Ag0.005CdO,500,0.054425317
Ag0.005CdO,550,0.068650119
Ag0.005CdO,600,0.086003917
Ag0.005CdO,650,0.107246128
Ag0.005CdO,700,0.133025323
Ag0.005CdO,750,0.163889093
Ag0.005CdO,800,0.200293906
Ag0.005CdO,850,0.242614963
Ag0.005CdO,900,0.291156062
Ag0.005CdO,950,0.346159454
Ag0.01Sn0.99Se,550,0.224414955
Ag0.02TiS2,350,0.155594053
Ag0.02TiS2,400,0.185089313
Ag0.02TiS2,450,0.219679682
Ag0.02TiS2,500,0.262640544
Ag0.02TiS2,550,0.314238446
Ag0.02TiS2,600,0.370075377
Ag0.02TiS2,650,0.419433054
Ag0.02Zn4Sb3,350,0.217467049
Ag0.02Zn4Sb3,400,0.312726348
Ag0.02Zn4Sb3,450,0.38240218
Ag0.02Zn4Sb3,500,0.434351628
Ag0.02Zn4Sb3,550,0.49088729
Ag0.02Zn4Sb3,600,0.545950233
Ag0.03Sn0.97Se,350,0.102106808
Ag0.03Sn0.97Se,400,0.1328218
Ag0.03Sn0.97Se,450,0.152679197
Ag0.03Sn0.97Se,500,0.164409213
Ag0.03Sn0.97Se,550,0.177050552
Ag0.03Sn0.97Se,600,0.202298195
Ag0.03Sn0.97Se,650,0.250851176
Ag0.03Sn0.97Se,700,0.328760371
Ag0.05Sn0.95Se,350,0.079619395
Ag0.05Sn0.95Se,400,0.109322202
Ag0.05Sn0.95Se,650,0.166471731
Ag0.05Sn0.95Se,700,0.204879076
Ag0.05Ti0.94Nb0.06O2,500,0.024532552
Ag0.05Ti0.94Nb0.06O2,550,0.028098672
Ag0.05TiO2,450,0.011675478
Ag0.05TiO2,500,0.01435088
Ag0.05TiO2,550,0.016718866
Ag0.05TiS2,350,0.106694829
Ag0.05TiS2,400,0.132865356
Ag0.05TiS2,450,0.165512757
Ag0.05TiS2,500,0.207340106
Ag0.05TiS2,550,0.259100303
Ag0.05TiS2,600,0.318462231
Ag0.05TiS2,650,0.378876913
Ag0.05Y0.15Ca2.8Co4O9,350,0.020106435
Ag0.05Y0.15Ca2.8Co4O9,400,0.022664447
Ag0.05Y0.15Ca2.8Co4O9,450,0.026311501
Ag0.05Y0.15Ca2.8Co4O9,500,0.033203664
Ag0.05Y0.15Ca2.8Co4O9,550,0.043798424
Ag0.05Y0.15Ca2.8Co4O9,600,0.057334
Ag0.05Y0.15Ca2.8Co4O9,650,0.072308636
Ag0.05Y0.15Ca2.8Co4O9,700,0.08695991
Ag0.05Y0.15Ca2.8Co4O9,750,0.099744034
Ag0.05Y0.15Ca2.8Co4O9,800,0.109815158
Ag0.05Y0.15Ca2.8Co4O9,850,0.117504671
Ag0.05Y0.15Ca2.8Co4O9,900,0.124800506
Ag0.05Y0.15Ca2.8Co4O9,950,0.135826443
Ag0.07Sn0.93Se,350,0.046540209
Ag0.07Sn0.93Se,650,0.080292293
Ag0.07Sn0.93Se,700,0.105996014
Ag0.15Y0.15Ca2.8Co4O9,350,0.021085128
Ag0.15Y0.15Ca2.8Co4O9,400,0.023937991
Ag0.15Y0.15Ca2.8Co4O9,450,0.02727333
Ag0.15Y0.15Ca2.8Co4O9,500,0.032788457
Ag0.15Y0.15Ca2.8Co4O9,550,0.040905194
Ag0.15Y0.15Ca2.8Co4O9,600,0.051126379
Ag0.15Y0.15Ca2.8Co4O9,650,0.06239236
Ag0.15Y0.15Ca2.8Co4O9,700,0.073437506
Ag0.15Y0.15Ca2.8Co4O9,750,0.083146701
Ag0.15Y0.15Ca2.8Co4O9,800,0.090911847
Ag0.15Y0.15Ca2.8Co4O9,850,0.096988369
Ag0.15Y0.15Ca2.8Co4O9,900,0.102851713
Ag0.15Y0.15Ca2.8Co4O9,950,0.111553848
Ag0.1NaCo2O4,550,0.138168652
Ag0.1NaCo2O4,600,0.16988149
Ag0.1NaCo2O4,650,0.199861949
Ag0.1NaCo2O4,700,0.224912734
Ag0.1NaCo2O4,750,0.243214706
Ag0.1NaCo2O4,800,0.255008629
Ag0.1NaCo2O4,850,0.263276908
Ag0.1NaCo2O4,900,0.274425337
Ag0.1NaCo2O4,950,0.298964841
Ag0.1TiS2,350,0.062912295
Ag0.1TiS2,400,0.082496123
Ag0.1TiS2,450,0.117123299
Ag0.1TiS2,500,0.169223477
Ag0.1TiS2,550,0.236378184
Ag0.1TiS2,600,0.312428488
Ag0.1TiS2,650,0.388582667
Ag0.20TiO2,350,0.007470626
Ag0.20TiO2,400,0.009819761
Ag0.20TiO2,450,0.01243952
Ag0.20TiO2,500,0.015407599
Ag0.20TiO2,550,0.018702972
Ag0.20TiO2,600,0.022246624
Ag0.2Na1.2Co2O4,600,0.236093869
Ag0.2Na1.2Co2O4,650,0.269020271
Ag0.2Na1.2Co2O4,700,0.279872864
Ag0.2Na1.2Co2O4,750,0.296290494
Ag0.2Na1.2Co2O4,800,0.33422258
Ag0.2Na1.2Co2O4,850,0.395642753
Ag0.2Na1.2Co2O4,900,0.466262497
Ag0.2Na1.2Co2O4,950,0.513244789
Ag0.2NaCo2O4,550,0.151003178
Ag0.2NaCo2O4,600,0.188635703
Ag0.2NaCo2O4,650,0.218049168
Ag0.2NaCo2O4,700,0.236678805
Ag0.2NaCo2O4,750,0.244590501
Ag0.2NaCo2O4,800,0.24423654
Ag0.2NaCo2O4,850,0.240211352
Ag0.2NaCo2O4,900,0.239007253
Ag0.2NaCo2O4,950,0.248770194
Ag0.32Cu0.43In0.25,550,0.007213462
Ag0.366Sb0.558Te,400,0.451863504
Ag0.366Sb0.558Te,450,0.507399111
Ag0.366Sb0.558Te,500,0.543196869
Ag0.366Sb0.558Te,550,0.551659678
Ag0.4NaCo2O4,550,0.146475545
Ag0.4NaCo2O4,600,0.191229768
Ag0.4NaCo2O4,650,0.217987076
Ag0.4NaCo2O4,700,0.226292168
Ag0.4NaCo2O4,750,0.220645622
Ag0.4NaCo2O4,800,0.208429432
Ag0.4NaCo2O4,850,0.197832548
Ag0.4NaCo2O4,900,0.195776417
Ag0.4NaCo2O4,950,0.205840517
Ag0.4Pb20SbTe19,550,0.068169987
Ag0.4Pb20SbTe19,600,0.177712803
Ag0.4Pb20SbTe19,650,0.321057705
Ag0.4Pb22.5SbTe20,350,0.204674626
Ag0.4Pb22.5SbTe20,400,0.322373015
Ag0.4Pb22.5SbTe20,450,0.476429259
Ag0.4Pb22.5SbTe20,500,0.667222202
Ag0.4Pb22.5SbTe20,550,0.890169851
Ag0.4Pb22.5SbTe20,600,1.128174104
Ag0.4Pb22.5SbTe20,650,1.344065494
Ag0.6Cu0.4TlTe,350,0.208493026
Ag0.6Cu0.4TlTe,400,0.317297195
Ag0.6Cu0.4TlTe,450,0.401510058
Ag0.6Pb22.5SbTe20,350,0.185352953
Ag0.6Pb22.5SbTe20,500,0.637157
Ag0.6Pb22.5SbTe20,550,0.869520389
Ag0.6Pb22.5SbTe20,600,1.101895182
Ag0.6Pb22.5SbTe20,650,1.291178122
Ag0.7Cu0.3TlTe,350,0.143902782
Ag0.7Cu0.3TlTe,400,0.237880581
Ag0.7Cu0.3TlTe,450,0.33074833
Ag0.7Pb18Sb0.8Te20,400,0.215977025
Ag0.7Pb18Sb0.8Te20,450,0.325519389
Ag0.7Pb18Sb0.8Te20,500,0.466331819
Ag0.7Pb18Sb0.8Te20,550,0.634412732
Ag0.7Pb18Sb0.8Te20,600,0.830600838
Ag0.83Sb1.06Te2,350,0.656916131
Ag0.83Sb1.06Te2,400,0.810875427
Ag0.88Sb1.04Te2,350,0.537877241
Ag0.88Sb1.04Te2,400,0.672163441
Ag0.8Cu0.2TlTe,350,0.080140111
Ag0.8Cu0.2TlTe,450,0.225149372
Ag0.8Pb18SbTe10Se10,150,0.238165033
Ag0.8Pb18SbTe10Se10,200,0.358041616
Ag0.8Pb18SbTe10Se10,250,0.407180751
Ag0.8Pb18SbTe15Se5,150,0.261378079
Ag0.8Pb18SbTe15Se5,200,0.355964561
Ag0.8Pb18SbTe20,100,0.032591062
Ag0.8Pb18SbTe20,150,0.091301904
Ag0.8Pb18SbTe20,200,0.165697182
Ag0.8Pb18SbTe20,250,0.220617346
Ag0.8Pb18SbTe20,350,0.174268629
Ag0.8Pb18SbTe20,450,0.229075507
Ag0.8Pb18SbTe20,500,0.327270738
Ag0.8Pb18SbTe20,550,0.453109533
Ag0.8Pb18SbTe20,600,0.593669257
Ag0.8Pb18SbTe20,650,0.813735691
Ag0.8Pb18SbTe5Se15,200,0.031484352
Ag0.8Pb18SbTe5Se15,250,0.05049491
Ag0.8Pb22.5SbTe20,350,0.165492169
Ag0.8Pb22.5SbTe20,400,0.258020395
Ag0.8Pb22.5SbTe20,450,0.360795597
Ag0.8Pb22.5SbTe20,500,0.523017416
Ag0.8Pb22.5SbTe20,550,0.706534138
Ag0.8Pb22.5SbTe20,600,0.889391021
Ag0.8Pb22.5SbTe20,650,1.148752835
Ag0.8Pb23SbTe20,350,0.09475145
Ag0.8Pb23SbTe20,400,0.160000626
Ag0.8Pb23SbTe20,450,0.271508568
Ag0.8Pb23SbTe20,500,0.435686874
Ag0.8Pb23SbTe20,550,0.646981056
Ag0.8Pb23SbTe20,600,0.884594435
Ag0.8Pb23SbTe20,650,1.109212036
Ag0.95GaTe2,500,0.101231017
Ag0.95GaTe2,650,0.441254249
Ag0.95Pd0.05TlTe,350,0.082732828
Ag0.95Pd0.05TlTe,400,0.128089437
Ag0.95Pd0.05TlTe,450,0.203290902
Ag0.96Nb0.04BiSe2,400,0.126043555
Ag0.96Nb0.04BiSe2,450,0.185453235
Ag0.96Nb0.04BiSe2,650,0.746303106
Ag0.96Nb0.04BiSe2,700,0.803849871
Ag0.96Nb0.04BiSe2,750,0.898430167
Ag0.97InTe2,500,0.014225217
Ag0.98Cu0.02TlTe,350,0.054626868
Ag0.9Cu0.1TlTe,350,0.079727911
Ag0.9Cu0.1TlTe,400,0.152047584
Ag0.9Pb18SbTe20,350,0.126552775
Ag0.9Pb18SbTe20,400,0.13567418
Ag0.9Pb18SbTe20,450,0.163123607
Ag0.9Pb18SbTe20,500,0.213449269
Ag0.9Pb18SbTe20,550,0.263826447
Ag0.9Pb18SbTe20,600,0.321067671
Ag0.9Pb18SbTe20,650,0.478632899
Ag1.1Pb16Sb0.8Te23,400,0.231294914
Ag1.1Pb16Sb0.8Te23,450,0.189832393
Ag1.1Pb16Sb0.8Te23,500,0.13954014
Ag1.1Pb16Sb0.8Te23,550,0.162748287
