formula,Temperature,target
ZrAg2,1000,0
YbAg2,1000,0
AgC,1000,0
AgC,1000,0
InAg,1000,0
AgN,1000,0
AgN,1000,0
TiAg,1000,0
LiAg,1000,0
LuAg2,1000,0
LaAg2,1000,0
AgN,1000,0
AgCl,1000,0
AgBr,1000,0
AgO,1000,0
AgO,1000,0
CeAg2,1000,0
PrAg2,1000,0
NdAg2,1000,0
BaAg2,1000,0
AgO,1000,0
AgN,1000,0
Zn2Ag,1000,0
MgAg2,1000,0
SiAg2,1000,0
AgH,1000,0
Ni3Ag,1000,0
AgSe5,1000,0
Sr7Ag3,1000,0
Ac2O3,1000,0
ScAg,1000,0
ZrAg,1000,0
GaAg,1000,0
AgI,1000,0
AcLa,1000,0
AcLa3,1000,0
Ac3Cl,1000,0
Ac3Zr,1000,0
Ac3Yb,1000,0
AcDy3,1000,0
Ac3Au,1000,0
Ac3Cr,1000,0
Ac3Ag,1000,0
Ac3Dy,1000,0
Ac3Zr,1000,0
Ac3Y,1000,0
Ac3Tm,1000,0
Ac2Mg,1000,0
Ac3Lu,1000,0
Ac3Yb,1000,0
Ac2Mg,1000,0
Ac3Cd,1000,0
Ac3Er,1000,0
Ac3Zn,1000,0
Ac3V,1000,0
Ac3La,1000,0
Ac3I,1000,0
Ac3Mo,1000,0
Ac3Tm,1000,0
Ac3Tb,1000,0
Ac3Cd,1000,0
Ac3Y,1000,0
Ac3Dy,1000,0
Ac3Nb,1000,0
Ac3Ce,1000,0
Ac3I,1000,0
Ac3Ti,1000,0
Ac3Pm,1000,0
AcCe3,1000,0
Ac3Ho,1000,0
Ac3Ag,1000,0
Ac3Cl,1000,0
AcCu3,1000,0
Ac3Zn,1000,0
Ac3Br,1000,0
Ac3Si,1000,0
Ac3Lu,1000,0
AcEu3,1000,0
Ac3Pa,1000,0
Ag3Au,1000,0
AgC,1000,0
Ag3Rh,1000,0
Ag3W,1000,0
AgAs,1000,0
AcY3,1000,0
Ag3As,1000,0
Ag3As,1000,0
Ag3Au,1000,0
Ag3Pd,1000,0
AgPt,1000,0
AgHg3,1000,0
Ag3Au,1000,0
AcTb3,1000,0
AgPd,1000,0
AgAu3,1000,0
Ag3Rh,1000,0
AcY3,1000,0
AgAu,1000,0
AgIr,1000,0
AcSm3,1000,0
AgRh,1000,0
AcSe3,1000,0
AcNd3,1000,0
AcYb3,1000,0
AcMg3,1000,0
AcCe3,1000,0
AcPr3,1000,0
AcPm3,1000,0
Ag3F,1000,0
AgGe3,1000,0
AcSc3,1000,0
AgSn3,1000,0
Ag3Hg,1000,0
AcNb3,1000,0
AcTh3,1000,0
AcNd3,1000,0
